Date,Close,High,Low,Open,Volume,Ticker
2026-04-14,332.49755859375,332.8770926852431,323.3489033390031,324.38762340838895,27721400,GOOGL
2026-04-15,336.70233154296875,337.0619013824557,330.49003638532656,332.4775916674409,24918800,GOOGL
2026-04-16,335.6036682128906,339.458901613874,334.105526677332,338.33029678032364,20541500,GOOGL
2026-04-17,341.2566833496094,341.89590508018404,335.8234205588037,337.2316773591919,25581900,GOOGL
2026-04-20,337.0019836425781,340.97703331198585,336.1929591105031,340.3378420577138,18784200,GOOGL
2026-04-21,331.8783264160156,338.9195798085849,330.9394885663705,337.2716301294484,23123800,GOOGL
2026-04-22,338.8996276855469,339.3990082413208,334.7547751685775,336.60245884112476,20293000,GOOGL
2026-04-23,338.47015380859375,341.53632713037314,335.7634893621326,340.7572947145818,18650300,GOOGL
2026-04-24,343.9732971191406,344.8422143498026,334.97448084779876,338.3103390739037,26426100,GOOGL
2026-04-27,349.90594482421875,352.74242256668157,342.3053878156813,345.55136124882,28576900,GOOGL
2026-04-28,349.3466491699219,351.9833930501032,345.69117996136276,348.11816206941427,27824100,GOOGL
2026-04-29,349.5064697265625,355.3492283904879,343.78355752060145,347.1394107424554,35376300,GOOGL
2026-04-30,384.3232421875,385.3619622201579,365.3667768501622,373.6065555628184,72040000,GOOGL
2026-05-01,385.2121887207031,386.2808704617397,378.5804000830116,381.1572209075714,30105200,GOOGL
2026-05-04,382.7751770019531,386.90006506467324,379.31947226185457,385.15223320621686,26298600,GOOGL
2026-05-05,387.9487609863281,392.33333678038815,383.5442209432822,385.7515048868787,23878600,GOOGL
2026-05-06,397.546875,399.3546301445318,392.2734176347804,393.7615619135972,31308500,GOOGL
2026-05-07,397.4969177246094,399.6043194807176,392.1934987581594,399.42454979908837,24433500,GOOGL
2026-05-08,400.3034362792969,401.5019617899809,395.86893456144384,396.5081562950806,21461800,GOOGL
2026-05-11,388.15850830078125,396.94759333072534,387.9887055115338,393.16228042470647,30753700,GOOGL
2026-05-12,386.8701171875,388.0386506028281,382.2957742925754,386.8601198229993,26017500,GOOGL
2026-05-13,402.1211853027344,403.1998643489371,384.5230197682841,385.1222825184223,28144600,GOOGL
2026-05-14,400.5731201171875,402.43080112559403,395.349588612008,396.7878070287349,21136700,GOOGL
2026-05-15,396.2884216308594,399.0450119758119,392.69287563304505,395.82900006662373,20309700,GOOGL
2026-05-18,396.4482421875,408.10376741205215,394.04122422601415,395.1997907850553,26837200,GOOGL
2026-05-19,387.1797180175781,396.65795076850566,385.63162007935824,396.4681837278221,39545700,GOOGL
2026-05-20,388.4281921386719,393.37204141137994,382.42562803382646,387.2196997137571,31744400,GOOGL
2026-05-21,387.1797180175781,392.01371791338363,382.5454520468608,385.22215486500835,24852800,GOOGL
2026-05-22,382.49554443359375,388.258385079403,381.29701890681014,386.87012298265273,20442100,GOOGL
2026-05-26,388.398193359375,388.7777274266938,382.12597532411496,384.0336125447445,27747400,GOOGL
2026-05-27,388.3482360839844,393.39199754996946,385.421873594791,386.1909390913781,23087300,GOOGL
2026-05-28,389.64666748046875,391.38450201712897,384.68282366229704,387.5193014898567,24357500,GOOGL
2026-05-29,379.8687744140625,384.7626974671623,377.9910987617443,384.7626974671623,44415800,GOOGL
2026-06-01,375.9037170410156,378.09100632744554,373.05724175924524,376.05352511273605,28672100,GOOGL
2026-06-02,361.4017028808594,373.07722234401785,357.99592394061045,366.13582064636165,50412300,GOOGL
2026-06-03,358.54522705078125,365.9960065843375,357.6363508187865,361.5814692403301,55441600,GOOGL
2026-06-04,371.7289123535156,372.7875967270043,357.76622059782807,358.4553682250688,44055500,GOOGL
2026-06-05,368.07342529296875,371.6190149899659,363.6688852043904,365.88613605551615,37471200,GOOGL
2026-06-08,363.0766296386719,365.9647879200631,360.2984165590168,364.9454235864071,27942500,GOOGL
2026-06-09,364.0260314941406,371.84098522768176,357.0704802123837,366.85420025674074,29535100,GOOGL
2026-06-10,356.1510925292969,368.3232616719084,354.97185779418805,362.95671584537644,32357100,GOOGL
2026-06-11,357.5401611328125,358.5694982511428,346.13748714351743,355.70134679025995,35538200,GOOGL
2026-06-12,359.4489440917969,366.33453278338226,354.7119986974298,362.3870579560934,24704600,GOOGL
2026-06-15,369.1127624511719,372.7504085202595,366.3145426692825,367.69366113705985,27727500,GOOGL
2026-06-16,373.01025390625,375.7584875251172,366.8242274297617,369.3626044753487,24876100,GOOGL
2026-06-17,363.55633544921875,372.0908279957741,361.78745285393074,368.8929017493238,24543600,GOOGL
2026-06-18,367.7935791015625,369.2426598317581,358.4396065335441,365.51504497617543,44470100,GOOGL
2026-06-22,349.45538330078125,358.68946892539066,341.50050477393233,357.72009076397745,52814800,GOOGL
2026-06-23,345.90765380859375,349.0656275102868,339.98147051143604,340.47114598010614,34007700,GOOGL
2026-06-24,345.0682067871094,353.25294826847323,341.7103492701006,348.8157979233392,44997300,GOOGL
2026-06-25,343.48919677734375,345.34801779729577,335.6242572392167,336.51370015420923,44491400,GOOGL
2026-06-26,337.17327880859375,346.1374872957393,329.98789515004995,342.32993723999033,114706300,GOOGL
2026-06-29,353.4228210449219,354.122383587675,340.4511784786947,341.6104064955248,34213900,GOOGL
2026-06-30,357.14044189453125,358.3896389689017,350.1749177879227,353.64269008629407,35237200,GOOGL
2026-07-01,360.97796630859375,362.7368455226467,356.20103798676814,358.1397942573561,26736400,GOOGL
2026-07-02,359.6788024902344,363.97602803095486,353.19298133516355,359.2490860357571,25974800,GOOGL
2026-07-06,366.2245788574219,367.693635754559,357.15042523629825,361.31772936423556,26915800,GOOGL
2026-07-07,366.7942199707031,372.9202869594668,365.26520405735874,368.8329180211536,24045600,GOOGL
2026-07-08,361.6875305175781,367.6037106679975,357.79001132287857,364.525702555654,22094800,GOOGL
2026-07-09,358.65948486328125,359.41897594546776,350.8544734886641,354.08240970637695,24729100,GOOGL
2026-07-10,356.9505615234375,357.5901650645865,352.52341441108456,357.30034280387986,18146100,GOOGL
2026-07-13,352.2835693359375,357.8999543595846,351.52404777471276,355.96119810970276,15901700,GOOGL
2026-07-14,359.2790832519531,359.92865963343,350.86447830880365,350.97442351070157,18259400,GOOGL
2026-07-15,370.6817626953125,373.40998963278184,357.5302120160503,357.74006858863044,28284600,GOOGL
2026-07-16,354.2322998046875,375.02892981037553,352.07368364698067,372.8203579699616,41158500,GOOGL
2026-07-17,346.5472412109375,348.2961170979314,341.1407126662452,345.77774679993126,29959300,GOOGL
2026-07-20,351.7638854980469,359.4489481797366,350.2948285491913,350.6546131580819,24736600,GOOGL
2026-07-21,346.927001953125,351.09433677099497,346.77710440528256,351.09433677099497,23369800,GOOGL
2026-07-22,341.8702392578125,349.7152025525983,341.51048515922605,347.93634723653764,39334100,GOOGL
2026-07-23,317.4859313964844,324.2815511558238,314.69771503877246,320.92372412122546,69419700,GOOGL
2026-07-24,319.53460693359375,323.97175736278774,317.11617848672984,318.2154780071113,31806600,GOOGL
2026-07-27,326.3502197265625,330.2077559724587,324.2415898017393,324.83120713377,28471600,GOOGL
2026-07-28,333.4956359863281,335.66425552638333,324.2316014627561,327.68937042492354,29511900,GOOGL
2026-07-29,336.49371337890625,342.2800028423013,331.40698648547414,334.455045685483,27501600,GOOGL
2026-07-30,333.4456787109375,336.29385412629074,330.12780397797883,333.98534038388266,30168000,GOOGL
2026-07-31,355.9012451171875,358.3496530632621,339.78160132747564,340.611054758666,46498000,GOOGL
2026-08-03,373.27008056640625,376.4480305309448,363.1166033198653,365.2152604560987,38669700,GOOGL
2026-08-04,377.40740966796875,380.2755612380555,367.263935640354,367.9834743668337,35705700,GOOGL
2026-08-05,362.1971740722656,384.2330278418686,356.54080629618977,383.0937455186354,46926300,GOOGL
2026-08-06,357.52020263671875,363.8961093831237,356.65076635274994,360.5382517887205,25235900,GOOGL
2026-08-07,354.0723876953125,358.6694387836589,353.5527327193329,356.49084652154687,19859900,GOOGL
2026-08-10,357.29034423828125,357.38028276908574,352.4834362714388,354.951850943437,18991400,GOOGL
2026-08-11,343.5791320800781,356.5807842683805,343.1694223006263,355.6613923515014,29081800,GOOGL
2026-08-12,343.3193359375,346.25744987105145,340.66104092628797,346.0875456512855,25012000,GOOGL
2026-08-13,346.13751220703125,347.7065110877775,343.5392066313974,345.5478948342235,17866100,GOOGL
2026-08-14,345.67779541015625,350.22489088982945,344.27870083870846,346.5772111705174,17808600,GOOGL
2026-08-17,343.7790222167969,347.0269344906474,341.7103446182459,346.04755304110785,18291300,GOOGL
2026-08-18,343.9789123535156,344.6484648943574,339.97147845233087,342.19005363605754,19248800,GOOGL
2026-08-19,344.4985656738281,346.5072842825429,340.44117610948047,342.2400076559886,19733800,GOOGL
2026-08-20,340.451171875,343.6790774504127,338.3525147854226,342.83962071417653,18570400,GOOGL
2026-08-21,344.5985107421875,345.97762917305914,340.1813365286692,342.359928876986,20849800,GOOGL
2026-08-24,347.83642578125,351.3741604480826,342.2699962782288,343.39927531721605,26338200,GOOGL
2026-08-25,346.73712158203125,349.9350782600912,345.37800981753963,349.41542326154587,20649700,GOOGL
2026-08-26,341.7803039550781,346.65717399060424,339.96146577825954,346.3973312516375,20420300,GOOGL
2026-08-27,340.4311828613281,341.4705233735174,338.3025461528343,339.45183186724313,23391400,GOOGL
2026-08-28,346.36737060546875,348.91575095848634,340.0514228221321,340.49114263603377,25347200,GOOGL
2026-08-31,339.13201904296875,344.3686432833908,336.94342338566804,343.60912172254496,33493600,GOOGL
2026-09-01,334.8047790527344,336.9834018439635,332.8360433203593,335.7841605001305,23342700,GOOGL
2026-09-02,336.9034423828125,339.78159726283246,332.6062167342666,333.84541044728496,22582300,GOOGL
2026-09-03,342.260009765625,344.4585782378343,339.841550898423,340.34122971001256,20726900,GOOGL
2026-09-04,338.4599914550781,343.5299987792969,337.0899963378906,342.4700012207031,23189300,GOOGL
2026-09-08,338.3599853515625,339.67999267578125,333.2200012207031,335.4200134277344,22915800,GOOGL
2026-09-09,330.6499938964844,331.8500061035156,327.8999938964844,331.6499938964844,33151600,GOOGL
2026-09-10,332.6000061035156,333.2300109863281,327.739990234375,328.2300109863281,23557600,GOOGL
2026-09-11,338.5,342.9800109863281,335.0299987792969,335.0299987792969,24708300,GOOGL
2026-09-14,349.3900146484375,349.9100036621094,342.1400146484375,343.1199951171875,35905400,GOOGL
2026-09-15,344.9800109863281,348.07000732421875,342.70001220703125,346.79998779296875,21928600,GOOGL
2026-09-16,342.8699951171875,348.3999938964844,340.6400146484375,347.0799865722656,18928900,GOOGL
2026-09-17,347.3299865722656,349.5,343.8900146484375,348.67999267578125,19238400,GOOGL
2026-09-18,349.5400085449219,359.44000244140625,348.45001220703125,357.30999755859375,47631800,GOOGL
2026-09-21,354.9700012207031,357.6099853515625,349.1000061035156,350.6400146484375,30455400,GOOGL
2026-09-22,351.1600036621094,364.1700134277344,350.2200012207031,357.6499938964844,29788600,GOOGL
2026-09-23,337.8299865722656,350.0,337.45001220703125,349.8599853515625,35576200,GOOGL
